mSec,Latitude,Longitude,Altitude,Speed,AccelX,AccelY,AccelZ,Soc1,Soc2,Soc3,BDat1,BDat2,BDat3
1288730973000,37.779386,-122.393457,-12.000000,45.000000,0.000000,0.531194,-9.534244,0.802068,0.933784,0.880049,0.915405,0.819032,0.810095
1288730978000,37.779665,-122.393848,-14.000000,459.000000,0.422231,1.729784,-8.076866,0.823164,0.819960,0.951582,0.887679,0.900063,0.830334
1288730981000,37.779788,-122.393999,-15.000000,20.000000,0.721878,0.721878,-10.337844,0.995568,0.991448,0.949994,0.914545,0.803113,0.961576
1288730985000,37.779896,-122.394106,-15.000000,18.000000,0.844462,-0.381370,-9.112013,0.895645,0.953371,0.974715,0.996223,0.883929,0.818876
1288730988000,37.780014,-122.394251,-15.000000,25.000000,0.953424,-1.797886,-9.575105,0.933155,0.908237,0.998483,0.871312,0.956154,0.827135
1288730992000,37.780244,-122.394546,-16.000000,38.000000,1.144109,0.572055,-7.818079,0.806461,0.848356,0.961294,0.920781,0.834427,0.804403
1288730995000,37.780480,-122.394851,-16.000000,48.000000,1.035146,-0.422231,-10.378705,0.934618,0.885640,0.881623,0.872732,0.873374,0.860129
1288730998000,37.780759,-122.395184,-17.000000,51.000000,0.503953,0.572055,-10.501288,0.873642,0.969595,0.973763,0.852486,0.935464,0.936850
1288731001000,37.781022,-122.395533,-18.000000,461.000000,-0.653777,1.879608,-9.084772,0.936124,0.942775,0.920087,0.828535,0.882844,0.818038
1288731006000,37.781462,-122.396075,-19.000000,47.000000,-0.149824,0.190685,-9.697687,0.967434,0.886840,0.888413,0.830263,0.987955,0.824177
1288731009000,37.781714,-122.396391,-19.000000,47.000000,-0.340509,-1.266692,-11.836082,0.906335,0.928777,0.866312,0.930648,0.944282,0.911804
1288731012000,37.781977,-122.396708,-19.000000,49.000000,-0.340509,0.572055,-10.038197,0.862763,0.859946,0.886661,0.866376,0.953352,0.911802
1288731015000,37.782261,-122.397067,-20.000000,54.000000,0.612916,0.953424,-8.430995,0.992914,0.821418,0.894712,0.825347,0.810196,0.925766
1288731020000,37.782712,-122.397646,-21.000000,48.000000,1.375655,-4.249548,-15.322891,0.825290,0.925336,0.830693,0.881023,0.822006,0.921924
1288731023000,37.782969,-122.397957,-20.000000,47.000000,0.231546,-0.149824,-10.528529,0.896677,0.908593,0.819871,0.954769,0.910516,0.810865
1288731026000,37.783216,-122.398269,-20.000000,45.000000,0.721878,0.149824,-8.730643,0.871758,0.993487,0.842196,0.898477,0.876562,0.859050
1288731029000,37.783436,-122.398548,-20.000000,37.000000,-0.231546,1.688923,-10.528529,0.943507,0.898703,0.836160,0.914497,0.875926,0.834473
1288731034000,37.783640,-122.398853,-21.000000,12.000000,0.000000,1.375655,-10.950760,0.815089,0.888364,0.938289,0.869150,0.871566,0.940531
1288731062000,37.783678,-122.398891,-21.000000,10.000000,1.266692,-3.677494,-3.214402,0.940737,0.849146,0.904474,0.957727,0.912985,0.944585
1288731065000,37.783812,-122.399030,-21.000000,35.000000,-1.184970,-2.601486,-11.795221,0.818139,0.974719,0.957855,0.987667,0.845215,0.957249
1288731068000,37.784037,-122.399288,-20.000000,45.000000,-0.885323,0.885323,-7.886181,0.965074,0.839028,0.887727,0.954074,0.985723,0.974323
1288731071000,37.784300,-122.399615,-20.000000,49.000000,0.231546,1.757025,-9.003050,0.937268,0.828001,0.834297,0.876400,0.817619,0.809607
1288731076000,37.784670,-122.400119,-19.000000,37.000000,0.081722,0.803600,-9.847511,0.933222,0.942874,0.856490,0.982360,0.943732,0.874560
1288731080000,37.784809,-122.400302,-17.000000,9.000000,-0.149824,3.405087,-9.003050,0.837840,0.904144,0.937404,0.897128,0.912199,0.897766
1288731100000,37.784793,-122.400361,-12.000000,2.000000,-0.108963,-0.994285,-4.208687,0.954222,0.886536,0.849636,0.901744,0.965897,0.918175
1288731104000,37.784815,-122.400506,-11.000000,8.000000,-0.340509,-0.926184,-8.281172,0.908503,0.962787,0.917296,0.940356,0.862812,0.872626
1288731107000,37.784938,-122.400548,-13.000000,14.000000,-0.081722,-1.879608,-9.847511,0.854135,0.984662,0.982061,0.904387,0.961750,0.968869
1288731110000,37.784826,-122.400763,-17.000000,29.000000,0.081722,-1.307553,-8.853226,0.989579,0.887523,0.837570,0.922525,0.838922,0.975325
1288731113000,37.784659,-122.400983,-18.000000,33.000000,-0.081722,1.525479,-10.378705,0.899032,0.970988,0.942559,0.805342,0.889031,0.850582
1288731118000,37.784375,-122.401401,-19.000000,36.000000,0.040861,-0.231546,-10.038197,0.863115,0.930571,0.982601,0.895742,0.834607,0.808067
1288731121000,37.784187,-122.401637,-19.000000,34.000000,0.422231,0.721878,-9.765789,0.821365,0.938399,0.819625,0.871663,0.906405,0.990547
1288731124000,37.784005,-122.401857,-20.000000,33.000000,0.081722,-0.381370,-8.812365,0.928119,0.886789,0.965543,0.942822,0.924431,0.887893
1288731127000,37.783828,-122.402083,-20.000000,32.000000,-0.040861,1.116868,-10.528529,0.977641,0.805109,0.831455,0.932785,0.884362,0.839597
1288731132000,37.783565,-122.402431,-20.000000,27.000000,0.463092,0.953424,-9.112013,0.904246,0.873245,0.848950,0.892361,0.890168,0.937535
1288731136000,37.783415,-122.402576,-20.000000,12.000000,0.149824,2.369941,-8.730643,0.831925,0.916476,0.918628,0.947981,0.845207,0.897831
1288731156000,37.783340,-122.402673,-17.000000,26.000000,1.307553,-4.481094,-12.530720,0.970658,0.855602,0.919025,0.944207,0.867113,0.963780
1288731160000,37.783082,-122.402968,-18.000000,40.000000,-0.694638,-0.422231,-9.888372,0.970054,0.978871,0.883944,0.934266,0.994619,0.891839
1288731163000,37.782798,-122.403241,-18.000000,50.000000,0.000000,1.076007,-6.742072,0.854023,0.821352,0.927342,0.945125,0.947177,0.963831
1288731166000,37.782535,-122.403563,-18.000000,47.000000,-0.272407,1.307553,-9.003050,0.903530,0.902717,0.833610,0.979406,0.942635,0.961663
1288731169000,37.782336,-122.403885,-17.000000,42.000000,-0.081722,1.266692,-8.921328,0.830576,0.952495,0.830537,0.897599,0.908190,0.983910
1288731174000,37.782025,-122.404282,-17.000000,35.000000,0.463092,0.803600,-9.697687,0.819928,0.906176,0.887430,0.979711,0.891011,0.821289
1288731177000,37.781880,-122.404518,-17.000000,30.000000,0.694638,1.076007,-9.152874,0.801928,0.896519,0.918740,0.921649,0.814819,0.831922
1288731180000,37.781805,-122.404738,-15.000000,22.000000,0.422231,-0.463092,-10.569390,0.978257,0.999188,0.882919,0.951098,0.986735,0.955901
1288731183000,37.781720,-122.404856,-12.000000,27.000000,-0.272407,-1.116868,-10.119919,0.942730,0.874596,0.927704,0.920189,0.956237,0.817245
1288731188000,37.781210,-122.405301,-18.000000,53.000000,0.912563,-0.108963,-9.152874,0.833035,0.929417,0.899196,0.864454,0.908121,0.812291
1288731191000,37.780904,-122.405682,-19.000000,56.000000,-0.149824,-0.081722,-11.686258,0.900588,0.899702,0.877368,0.822868,0.849135,0.855804
